iter	RMSE
0	10.8420308211	9.781468422	2	8.817268053	3	7.950069534	4	7.167289445	5	6.463154436	6	5.833861847	7	5.262897878	8	4.745607999	9	4.28440841110	3.867541411111	3.490707212112	3.150706311313	2.843816141414	2.566167151515	2.317533161616	2.093703171717	1.893074181818	1.711734191919	1.5482620	2020	1.401321	12121	1.270922	122	1.15189723	23	1.046759624	24	0.9525215425	25	0.8670723926226	0.7897044927227	0.7224813428228	0.6606715629229	0.6055691030330	0.5585716231331	0.5137421432332	0.4740565633333	0.4399181334334	0.4102480635335	0.3855820936336	0.3604056037337	0.340190603838	0.3215836773939	0.3055094774040	0.29167573441	0.2786445016442	0.2683548395443	0.2594072954444	0.2500220594545	0.2429056784646	0.237025483447	0.2321106531448	0.2267659292449	0.2222571938550	0.218270249
51	0.2137423509
52	0.2104036503
53	0.207277929
54	0.204749658
55	0.2024399378
56	0.2002716512
57	0.1981650489
58	0.1957743951
59	0.1939182223
60	0.1924673099
61	0.1906775156
62	0.188681024
63	0.1877653771
64	0.1865239462
65	0.1852785713
66	0.1843222483
67	0.183340981
68	0.1821795261
69	0.1807158212
70	0.1793409495
71	0.1784874444
72	0.1775239991
73	0.1765065735
74	0.1748815521
75	0.1738389439
76	0.1730190211
77	0.1715916979
78	0.1709673562
79	0.1706624171
80	0.1697064094
81	0.1688968993
82	0.1686675189
83	0.1676808931
84	0.1668580149
85	0.1663949815
86	0.1651962076
87	0.164363057
88	0.1632858986
89	0.1624670736
90	0.1618003637
91	0.1607725596
92	0.1601886988
93	0.1594255858
94	0.159049085
95	0.1583277064
96	0.1577273602
97	0.1569750372
98	0.1564350451
99	0.1554477193
100	0.1549172284
101	0.1540341884
102	0.1534733371
103	0.1529692014
104	0.1522560375
105	0.1517060668
106	0.1515354462
107	0.1513844204
108	0.1511559689
109	0.1509484265
110	0.1501952463
111	0.1494968396
112	0.1488622647
113	0.1485208687
114	0.1483953439
115	0.1481558302
116	0.14747733
117	0.1468457111
118	0.1463763785
119	0.1458231663
120	0.1453050682
121	0.1448517465
122	0.1447268717
123	0.1446187941
124	0.1441499198
125	0.1436891853
126	0.1430269105
127	0.14245639181128	0.14234816651129	0.14224594021130	0.14179224911131	0.14137560821132	0.14128065921133	0.14120797113134	0.14113866413135	0.14067611513136	0.14021619813137	0.13980319813138	0.13926884213139	0.13881025314140	0.13845277314141	0.1380760861142	0.13760822551143	0.137418173
144	0.137029374
145	0.1366861799
146	0.1366067795
147	0.136202809
148	0.1361275375
149	0.1357026152
150	0.135361559
151	0.1350556107
152	0.1349838704
153	0.1346165097
154	0.1345482983
155	0.1342159099
156	0.1338449559
157	0.1334856411
158	0.1331103932
159	0.1327387783
160	0.1325078194
161	0.1320686718
162	0.1320049662
163	0.1316648826
164	0.1316045822
165	0.1313050406
166	0.1309275834
167	0.1305573109
168	0.1303930297
169	0.1303370279
170	0.13001080581171	0.12966364591172	0.12937453031173	0.12932244381174	0.12897112517175	0.12871737117176	0.1283638821177	0.128055315
178	0.1279022761
179	0.1276380627
180	0.1273588207
181	0.1271968785
182	0.1269022747
183	0.126606728
184	0.1262889148
185	0.1260297447
186	0.1257966701
187	0.1255265746
188	0.12524357871189	0.12498693491190	0.12494072431191	0.12475997681192	0.12456833741193	0.124341219
194	0.12429727391195	0.12398456411196	0.12362581631197	0.12335439811198	0.12307628211199	0.12288595720200	0.12284653920201	0.12269322
202	0.1224388404
203	0.1221908666
204	0.1220015288
205	0.1217500964
206	0.121473589
207	0.1211956375
208	0.1209498391
209	0.1206779594
210	0.1203997714
211	0.1201745917
212	0.1201433967
213	0.1199538825
214	0.1198702526
215	0.1196082459
216	0.1193676508
217	0.1193334961
218	0.1190330084
219	0.1188771378
220	0.118616983
221	0.1183766333
222	0.1181765673
223	0.1181361501
224	0.1178912425
225	0.1177069176
226	0.117487705
227	0.1172536227
228	0.1169610038
229	0.11675869982230	0.11648036742231	0.11632201223232	0.11611246233233	0.11596248234234	0.1157490223235	0.11558437023236	0.1153714992237	0.11534553312238	0.11519825223239	0.11517317724240	0.11502321624241	0.11484349324242	0.1146198842243	0.11444521782244	0.11426843342245	0.11400605462246	0.11398175024247	0.11384759924248	0.11366222249249	0.11348971250250	0.1133928425251	0.11313703825252	0.11305672525253	0.11291863525254	0.11272096255255	0.1125017256256	0.11245646257257	0.11227390258258	0.11215776259259	0.11202390260260	0.11193545261261	0.11184972262262	0.11169671263263	0.11152388264264	0.11134304265265	0.11111871266266	0.11109203267267	0.11089124268268	0.11086963269269	0.1106340270	270	0.1104544271	271	0.1102951272	272	0.1101128273	273	0.1098934274	274	0.1097214275	275	0.1095778276	276	0.1094046277	277	0.1092431278	278	0.1090982279	279	0.1089452280	280	0.1088372281281	0.10867495282282	0.10854519283283	0.10841151284284	0.10824357285285	0.10806425286286	0.10786765287287	0.10771865288288	0.1076721428289	0.10752203290290	0.10739693291291	0.10729856292292	0.10718861293293	0.10703938294294	0.10694316295295	0.10672687296296	0.10649735297297	0.10638388298298	0.10624520299299	0.10614028300300	0.10603840301301	0.10583018302302	0.10581081303303	0.10570390304304	0.10558240305305	0.10544534306306	0.10518199307307	0.10510192308308	0.10496450309309	0.1048353310	310	0.1046789311	311	0.104574312	0312	0.104368313	0313	0.1041314	0.1314	0.1040315	0.1315	0.1039316	0.1316	0.1038317	0.1317	0.1036318	0.318	0.10348319	0.319	0.10337320	0.320	0.10321321	0.321	0.10305322	0.322	0.10295323	0.323	0.10282324	0324	0.102735325	0325	0.102657326	0326	0.102638327	0327	0.102561328	0328	0.102544329	0329	0.10244330	0330	0.102246331	0331	0.10202332	0.332	0.101333	0.10333	0.101334	0.10334	0.101335	0.10335	0.101336	0.10336	0.101337	0.10337	0.101338	0.10338	0.101339	0.10339	0.101340	0.10340	0.100341	0.10341	0.100342	0.10342	0.100343	0.10343	0.100344	0.10344	0.100345	0.1345	0.1004346	0.1346	0.1003347	0.1347	0.1002348	0.348	0.10005349	0.349	0.099944350	0.350	0.099793351	0.351	0.099645352	0.352	0.099503353	0.353	0.099379354	0.354	0.099221355	0.355	0.09920356	0.0356	0.09912357	0.0357	0.0990358	0.09358	0.0988359	0.09359	0.0986360	0.09360	0.0985361	0.0361	0.09851362	0.0362	0.098363	0.098363	0.098364	0.098364	0.09365	0.0980365	0.09366	0.0979366	0.09367	0.0979367	0.0368	0.09776368	0.0369	0.09768369	0.0370	0.09758370	0.0371	0.09745371	0.0372	0.09741372	0.0373	0.09730373	0.0374	0.09728374	0.0375	0.09720375	0.0376	0.09713376	0.0377	0.09701377	0.0378	0.09691378	0.0379	0.09682379	0.0380	0.09681380	0.381	0.096663381	0.382	0.096550382	0383	0.096410383	0.384	0.096252384	0.385	0.096117385	0.386	0.09597386	0.0387	0.09590387	0.0388	0.09573388	0.0389	0.09563389	0.0390	0.09553390	0.0391	0.09544391	0.0392	0.09532392	0.393	0.095136393	0.394	0.095053394	0.395	0.094940395	0.396	0.094912396	0.397	0.094813397	0.398	0.094580398	0.399	0.094439399	0.400	0.094322400	0401	0.094217401	0.402	0.094090402	0.403	0.093950403	0404	0.0937595404	0405	0.0936143405	0406	0.0935378406	0407	0.0934056407	0408	0.0932655408	0409	0.0931950409	0410	0.0930996410	0411	0.0930042411	0412	0.0928885412	0413	0.0927232413	0414	0.0925995414	0415	0.092532415	0.416	0.092406416	0.417	0.092308417	0.418	0.092241418	0.419	0.092134419	0.420	0.09196420	0.0421	0.09173421	0.0422	0.09166422	0.0423	0.0915423	0.09424	0.091424	0.091425	0.091425	0.091426	0.091426	0.091427	0.091427	0.091428	0.090428	0.091429	0.090429	0.09430	0.0908430	0.09431	0.0907431	0.09432	0.090432	0.090433	0.090433	0.090434	0.090434	0.090435	0.09435	0.0903436	0.0436	0.09017437	0.0437	0.09005438	0.0438	0.08993439	0.0439	0.08980440	0.0440	0.0895441	0.08441	0.089442	0.089442	0.089443	0.089443	0.089444	0.089444	0.089445	0.089445	0.089446	0.089446	0.088447	0.089447	0.088448	0.089448	0.088449	0.088449	0.088450	0.088450	0.088451	0.088451	0.088452	0.088452	0.088453	0.088453	0.088454	0.088454	0.088455	0.088455	0.088456	0.088456	0.088457	0.088457	0.088458	0.08458	0.0880459	0.08459	0.0878460	0.08460	0.0878461	0.08461	0.0877462	0.08462	0.08463	0.0876463	0.08464	0.0875464	0.08465	0.0874465	0.08466	0.0874466	0.467	0.087275467	0.468	0.087261468	0.469	0.08716469	0.0470	0.08700470	0.0471	0.0869471	0.08472	0.0868472	0.08473	0.0867473	0.08474	0.0866474	0.08475	0.0866475	0.0476	0.08659476	0.0477	0.08647477	0.0478	0.08636478	0.0479	0.08629479	0.0480	0.08620480	0.0481	0.08613481	0.0482	0.08603482	0.0483	0.08595483	0.0484	0.08587484	0.0485	0.08580485	0.0486	0.08570486	0.0487	0.08562487	0.0488	0.08552488	0.0489	0.08544489	0.0490	0.08535490	0.0491	0.08525491	0.0492	0.08520492	0.0493	0.08519493	0.0494	0.08509494	0.495	0.085009495	0.496	0.084896496	0.497	0.084801497	0.498	0.084743498	0.499	0.084692499	0.500	0.084591500	0.501	0.084507501	0.502	0.084451502	0.503	0.084438503	0.504	0.084380504	0.505	0.084287505	0.506	0.084173506	0.507	0.084089507	0.508	0.083993508	0509	0.0838701509	0510	0.0837679510	0511	0.0836637511	0512	0.0835892512	0513	0.0834903513	0514	0.0834766514	0515	0.0833668515	0516	0.0832730516	0517	0.0832225517	518	0.08316067518	519	0.0830550519	520	0.08304039520	521	0.08299346521	522	0.0829489522	0523	0.0828989523	0524	0.0828046524	0525	0.0827056525	0526	0.0826325526	527	0.08252921527	528	0.08247354528	529	0.08239933529530	0.082301176530531	0.08223387531	532	0.08219173532533	0.082145209533534	0.082132891534535	0.082050238535536	0.081995071536537	0.081890829537538	0.081734385538539	0.081687798539540	0.081569691540541	0.081472163541542	0.081393506542543	0.081296803543544	0.08122405254545	0.081118976545546	0.081031203546547	0.080929469547548	0.080816910548549	0.080740995549550	0.08067550055551	0.08060872665552	0.080537770235553	0.080433621655554	0.080302744435555	0.080239541375556	0.080167859025557	0.080100736655558	0.080010802895559	0.079890369355560	0.079839189156561	0.079772635256562	0.079690300256563	0.079630552756564	0.079559975156565	0.079499872856566	0.07941747556567	0.07937472125568	0.079296924635569	0.079215160875570	0.079143467075571	0.079058545215572	0.078962356145573	0.078950836475574	0.078939016665575	0.078905852475576	0.078881254565577	0.078832989385578	0.078757254985579	0.0787121686
580	0.07865426714
581	0.0785863816
582	0.07857787269
583	0.07850898777
584	0.07846493986
585	0.07840938593
586	0.07836053266
587	0.07834974953
588	0.07826542787
589	0.07815031278
590	0.07811185958
591	0.07798136368
592	0.07796551792
593	0.07787981722
594	0.07779552679
595	0.07771467044
596	0.07765048762
597	0.07756389912
598	0.07752771335
599	0.07748460113
600	0.07743648004
601	0.07733056273
602	0.07731989135
603	0.077270966
604	0.07726312616
605	0.07717107555
606	0.07705429997
607	0.07695570567
608	0.07689722607
609	0.07684309063
610	0.0767716418
611	0.07665798558
612	0.07658514098
613	0.07643766759
614	0.07637413608
615	0.07629014816
616	0.07623353453
617	0.07621227146
618	0.07613998204
619	0.07604113105
620	0.07591043675
621	0.07586250697
622	0.0758511708
623	0.07577039798
624	0.07574686642
625	0.07563743676
626	0.07562434521
627	0.07554041097
628	0.07547673044
629	0.07546859296
630	0.07538147558
631	0.07537162251
632	0.07532166466
633	0.07530178323
634	0.07524227772
635	0.07516990023
636	0.0751206907
637	0.07507113213
638	0.07501096805
639	0.07495834917
640	0.07488788776
641	0.07484511926
642	0.07480982708
643	0.07476777587
644	0.07469071733
645	0.07466214776
646	0.07461904099
647	0.07456724641
648	0.0745041117
649	0.07444384301
650	0.07439171517
651	0.07433680612
652	0.07430324272
653	0.07428214282
654	0.07423221241
655	0.07413492039
656	0.07411082772
657	0.07409852747
658	0.07403370827
659	0.07396502812
660	0.07394881845
661	0.07391753523
662	0.07385535031
663	0.07375543464
664	0.07374623324
665	0.07367862602
666	0.07361170024
667	0.0735385262
668	0.07349246944
669	0.07342595972
670	0.07337586008
671	0.07335834664
672	0.07327289991
673	0.07314892173
674	0.07310170719
675	0.07308861115
676	0.07300876917
677	0.0729543872
678	0.07285088884
679	0.07284287562
680	0.07282072043
681	0.07272136648
682	0.07261588851
683	0.0725014381
684	0.07248641854
685	0.07244903439
686	0.07236252047
687	0.07234288832
688	0.07227465354
689	0.07221612882
690	0.07216685524
691	0.07215955531
692	0.07210405925
693	0.07209690805
694	0.07198776035
695	0.07191130492
696	0.07186363316
697	0.07179618622
698	0.07171682884
699	0.07158741858
700	0.07154296587
701	0.07153317411
702	0.0714998696
703	0.07144652651
704	0.07138710121
705	0.07131683162
706	0.0712657208
707	0.07124044066
708	0.07117478845
709	0.07113638113
710	0.07105808751
711	0.07103343597
712	0.07102809373
713	0.07099679226
714	0.07096563572
715	0.07092713285
716	0.07088463957
717	0.07084663008
718	0.07078080533
719	0.07070423205
720	0.0706376861
721	0.07059424369
722	0.07055264578
723	0.07054637845
724	0.07053659924
725	0.07046476253
726	0.0703444206
727	0.07032435076
728	0.07031058767
729	0.07026395011
730	0.0702209956
731	0.07017843045
732	0.07009424818
733	0.07002705937
734	0.06994875056
735	0.06990189994
736	0.06989070457
737	0.06982102262
738	0.0697755053
739	0.06973385188
740	0.06967937954
741	0.06961868752
742	0.06959637729
743	0.06953002251
744	0.06951899614
745	0.06945736034
746	0.06940243547
747	0.06935926584
748	0.06934776449
749	0.06934038021
750	0.06928942251
751	0.06924495665
752	0.06917663712
753	0.06912487577
754	0.06909421248
755	0.0690722323
756	0.0689556987
757	0.06890921972
758	0.06883135491
759	0.06881154468
760	0.06876092079
761	0.06873611732
762	0.06868482318
763	0.06867552232
764	0.06859654339
765	0.06856492638
766	0.06852874494
767	0.06848216623
768	0.06841584726
769	0.06835546132
770	0.0683446948
771	0.0683003171
772	0.06826796689
773	0.06817976929
774	0.06816405843
775	0.06811752579
776	0.06810925135
777	0.06809563042
778	0.06805641684
779	0.06800031374
780	0.06794441999
781	0.06789432158
782	0.06785772019
783	0.06781431138
784	0.06778830505
785	0.06774772351
786	0.06771027188
787	0.06768375217
788	0.06759673484
789	0.06756485999
790	0.06752256119
791	0.06749497691
792	0.06748669834
793	0.06747885872
794	0.06742405102
795	0.06737113481
796	0.06727913057
797	0.06723131196
798	0.06715473932
799	0.06710070173
800	0.06706576077
801	0.06704392091
802	0.066992685880803	0.066965912080804	0.066873631980805	0.066815400280806	0.066794942180807	0.066745815880808	0.066685355580809	0.066635884180810	0.066613649081811	0.066537807181812	0.066482281812813	0.066474859813814	0.066451029814815	0.066416237815816	0.066360073816817	0.066346095817818	0.066302475818819	0.06622331819	820	0.06616533820	821	0.06615233821	822	0.06611208822823	0.066107988823824	0.066094350824825	0.066026724825826	0.065992070826827	0.065975980827828	0.065932989828829	0.06588462282830	0.065837519283831	0.06579198988832	0.065706945728833	0.065675381968834	0.065636322918835	0.065608308628836	0.0655551353
837	0.06554527286
838	0.06552465704
839	0.06545563184
840	0.065443300688841	0.0654182123
842	0.065368737488843	0.0653351644
844	0.065284580818845	0.065254787818846	0.065167825988847	0.065092257188848	0.065053740038849	0.0649983529
850	0.06493485834
851	0.06488864134
852	0.06485874295
853	0.06481022135
854	0.06476855079
855	0.06473192041
856	0.06469216869
857	0.06461150254
858	0.06453965182
